"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05202","Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","28/408","226/9568",0.123893805309735,2.90543119902828,6.11783545092191,3.36583984085682e-07,4.2585191029971e-06,3.66622371681429e-06,"22029/18507/18124/14255/66298/634825/382059/100041759/13237/13239/100041890/626682/626708/100041952/503491/18791/17392/235320/12047/17268/18053/20474/319152/319153/16185/16421/104156/12475",28
"mmu05162","Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","21/408","145/9568",0.144827586206897,3.39634888438134,6.13634381019943,7.99414303398734e-07,9.69289842870964e-06,8.34476334249555e-06,"12487/23797/16184/246728/246727/23961/23960/246730/54123/170786/12502/12500/12501/81897/16160/16185/17857/17858/15511/193740/16186",21
"mmu05323","Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","15/408","87/9568",0.172413793103448,4.04327248140636,6.01788138909499,3.41329426162745e-06,3.97307452053435e-05,3.42048014428351e-05,"12487/24099/17392/20304/21943/15001/14998/15000/14999/15002/14961/14960/14969/381091/16994",15
"mmu04621","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","25/408","216/9568",0.115740740740741,2.71423384168482,5.37792724628545,5.05768057621814e-06,5.66071172184415e-05,4.87339261999966e-05,"15951/229898/55932/14468/14469/246728/246727/23961/23960/246730/54123/66298/634825/382059/100041759/13237/13239/100041890/626682/626708/100041952/503491/637515/20304/54483",25
"mmu05322","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","20/408","150/9568",0.133333333333333,3.12679738562092,5.54067448335181,5.4050518236382e-06,5.82544474325451e-05,5.01521377787872e-05,"12487/50909/320332/404634/319152/319153/665433/100041230/326619/15001/14998/15000/14999/15002/14961/14960/14969/381091/12268/12263",20
"mmu05145","Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","15/408","109/9568",0.137614678899083,3.22719913653535,4.93537227982847,5.58066044323826e-05,0.00057999006749369,0.000499322250184475,"23797/16160/18126/12265/15001/14998/15000/14999/15002/14961/14960/14969/381091/15511/193740",15
"mmu05152","Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","20/408","180/9568",0.111111111111111,2.60566448801743,4.58959904072777,8.01010322247407e-05,0.000803772426806881,0.000691979879110283,"23797/13040/16411/170786/81897/16160/18126/22337/12265/15001/14998/15000/14999/15002/14961/14960/14969/381091/12475/16149",20
"mmu04610","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","13/408","94/9568",0.138297872340426,3.24322069253233,4.61253283470032,0.000164909816211413,0.00155214534357133,0.00133626547936328,"11905/14067/12902/14061/12630/50909/16411/18791/20701/20704/15160/12268/12263",13
"mmu05140","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","11/408","70/9568",0.157142857142857,3.68515406162465,4.7585252443513,0.000165348816669111,0.00155214534357133,0.00133626547936328,"16160/18126/15001/14998/15000/14999/15002/14961/14960/14969/381091",11
"mmu05170","Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","23/408","241/9568",0.0954356846473029,2.23806036937597,4.10818115951416,0.000245829116759915,0.00223550853053547,0.00192458321673881,"12503/23797/12010/209387/69550/12502/12500/12501/14972/21354/21355/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",23
"mmu05203","Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","22/408","228/9568",0.0964912280701754,2.26281389748882,4.07289833651909,0.000286152074493293,0.00252334102053177,0.0021723825751006,"20684/22029/12578/320332/54123/12773/20259/100041230/326619/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",22
"mmu02010","Environmental Information Processing","Membrane transport","mmu02010","ABC transporters - Mus musculus (house mouse)","9/408","52/9568",0.173076923076923,4.05882352941176,4.66765887449866,0.000307192647807759,0.00262920766211935,0.00226352477332033,"18671/26357/20928/268379/76408/27404/21354/21355/12780",9
"mmu04062","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","19/408","193/9568",0.0984455958549223,2.30864573808798,3.87601405431842,0.000572708369479689,0.00476166101481685,0.00409938622364409,"16963/23797/20309/56221/20299/20295/12145/12773/23832/432530/20306/20307/20304/20303/12775/12777/56838/12458/12766",19
"mmu04662","Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","11/408","84/9568",0.130952380952381,3.07096171802054,4.02333479403421,0.00083138624703779,0.00672037216355547,0.00578567037412263,"23797/12902/242248/12517/12518/12483/12478/68713/15985/12143/12229",11
"mmu05235","Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)","11/408","88/9568",0.125,2.93137254901961,3.84125778550258,0.00123013711036561,0.00947951100849591,0.00816105487437883,"12487/12503/23797/18761/16797/12502/12500/12501/81897/74481/60533",11
"mmu05163","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","22/408","254/9568",0.0866141732283465,2.03118727806083,3.51525245012699,0.00123787428976923,0.00947951100849591,0.00816105487437883,"23797/12010/19218/12578/432530/20304/20303/14972/21354/21355/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",22
"mmu00380","Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","8/408","52/9568",0.153846153846154,3.6078431372549,3.97947839941232,0.00147640666765972,0.0110162651356148,0.00948406982194366,"71872/98256/209692/70789/56720/21990/15930/13078",8
"mmu05165","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","27/408","359/9568",0.0752089136490251,1.76372275929871,3.11276942850265,0.00293760788115319,0.0213710973353894,0.0183987019924858,"22420/329278/23797/22417/100038882/20750/23962/231655/93897/665033/16421/17857/17858/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/94216",27
"mmu05142","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","11/408","103/9568",0.106796116504854,2.50447363411384,3.23976206620507,0.00433771392973919,0.0307871891110757,0.0265051582869814,"12503/23797/12502/12500/12501/81897/432530/16160/18126/20304/14680",11
"mmu04218","Cellular Processes","Cell growth and death","mmu04218","Cellular senescence - Mus musculus (house mouse)","16/408","183/9568",0.087431693989071,2.05035894139076,3.02772463783874,0.00504027197969255,0.034921884430727,0.030064780229745,"23797/73333/12578/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",16
"mmu04064","Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","11/408","107/9568",0.102803738317757,2.41084845153014,3.09723362229298,0.00579238470501105,0.0391996267246096,0.0337475534832957,"18761/22029/16797/24099/12047/20303/21943/72049/16994/12475/12229",11
